PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2020,26,80.625,48.8,3.95,23.99,21.63,46.75,199.7,247.3,222.16,90.8,0.19,13.43,1.2,919.9
PRECTOTCORR_SUM,2020,26,81.25,38.63,9.53,30.89,26.04,52.43,251.15,237.91,206.33,117.69,1.81,10.25,3.35,986.01
PRECTOTCORR_SUM,2020,26,81.875,23.63,14.72,36.99,34.17,56.23,271.21,266.81,186.57,158,4.83,4.93,4.43,1062.52
PRECTOTCORR_SUM,2020,26,82.5,30.14,12.92,35.4,29.65,53.46,266.34,242.78,199.27,134.32,3.64,7.82,4.45,1020.19
PRECTOTCORR_SUM,2020,26,83.125,18.87,16.89,38.69,35.42,56.14,276.43,292.44,175,174.9,7.23,3.76,3.6,1099.37
PRECTOTCORR_SUM,2020,26,83.75,13.38,19.97,35.42,30.78,58.54,283.13,348.56,149.35,212.91,13.29,2.43,2.01,1169.77
PRECTOTCORR_SUM,2020,26,84.375,10.21,22.73,31.52,28.78,67.25,290.5,405.86,132.93,263.7,32.66,1.15,1.62,1288.91
PRECTOTCORR_SUM,2020,26,85,8.59,22.9,37.64,38.24,75.27,316.35,492.48,142.92,297.95,54.35,0.34,1.44,1488.47
PRECTOTCORR_SUM,2020,26,85.625,7.54,22.4,56.82,46.7,72.95,320.19,510.29,158.14,325.94,46.22,0.1,0.64,1567.93
PRECTOTCORR_SUM,2020,26,86.25,8.15,23.22,76.89,48.9,90.05,324.03,446.59,184.94,423.31,32.26,0.02,0.25,1658.61
PRECTOTCORR_SUM,2020,26,86.875,9.95,25.17,116.83,65.26,147.41,381.89,493.68,249.65,588.27,42.53,0.1,0.32,2121.06
PRECTOTCORR_SUM,2020,26,87.5,9.66,22.77,103.29,68.64,153.13,384.92,468.63,242.39,566.07,49.47,0.16,0.3,2069.43
PRECTOTCORR_SUM,2020,26,88.125,12.04,26.15,162.01,99.93,282.65,507.38,657.12,344.19,711.44,80.03,0.94,0.41,2884.29
PRECTOTCORR_SUM,2020,26.5,80.625,60.16,8.34,38.75,19.24,61.72,124.88,262.22,237.74,75.59,0.03,20.24,0.12,909.03
PRECTOTCORR_SUM,2020,26.5,81.25,50.66,16.18,44.24,20.39,63.79,185.34,267.83,211.2,106.4,0.48,14.99,0.86,982.36
PRECTOTCORR_SUM,2020,26.5,81.875,35.35,22.28,45.55,27.91,65.13,275.12,338.27,173.89,163.04,2,7.45,1.71,1157.7
PRECTOTCORR_SUM,2020,26.5,82.5,41.29,20.26,45.95,23.09,62.43,223.05,284.64,196.05,129.22,1.24,11.14,1.49,1039.85
