PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2020,26,80.625,11.82,14.87,15.26,16.13,15.07,9.59,6.66,6.29,8.22,12.65,14.59,15.06,12.17
T2M_RANGE,2020,26,81.25,11.6,14.45,15.17,16.03,15.2,9.05,6.23,6.04,7.61,12.07,14.56,15.05,11.91
T2M_RANGE,2020,26,81.875,11.55,14.55,15.05,15.91,14.98,8.48,5.89,5.9,7.23,11.32,14.35,15.15,11.68
T2M_RANGE,2020,26,82.5,11.57,14.4,15.02,15.93,14.83,8.23,5.69,5.92,7,11.37,14.55,15.38,11.65
T2M_RANGE,2020,26,83.125,11.69,14.59,14.87,15.83,14.49,7.81,5.42,5.8,6.76,10.77,14.15,15.4,11.45
T2M_RANGE,2020,26,83.75,12.3,15.06,15,15.69,14.38,7.58,5.3,5.76,6.43,10.17,13.1,15.05,11.3
T2M_RANGE,2020,26,84.375,12.84,15.3,15.19,15.74,14.1,7.61,5.18,5.8,6.15,9.52,12.35,14.28,11.16
T2M_RANGE,2020,26,85,12.91,15.28,15.11,15.62,13.54,7.76,4.98,5.64,6.05,8.89,12.25,13.68,10.96
T2M_RANGE,2020,26,85.625,12.91,15.26,15.08,15.54,13.22,7.87,5.01,5.49,5.97,8.71,12.66,13.86,10.95
T2M_RANGE,2020,26,86.25,12.93,14.95,14.9,15.18,12.78,7.69,4.88,5.32,5.57,8.23,11.85,13.22,10.61
T2M_RANGE,2020,26,86.875,12.42,14.53,14.27,14.47,11.71,6.84,4.67,5.21,5.15,7.91,10.84,11.88,9.97
T2M_RANGE,2020,26,87.5,12.45,14.39,14.14,13.93,11.26,6.73,4.66,5.44,5.01,7.87,10.71,11.43,9.82
T2M_RANGE,2020,26,88.125,11.96,13.93,13.6,13.19,9.78,6,4.45,5.46,4.96,7.66,10.41,11.22,9.37
T2M_RANGE,2020,26.5,80.625,11.9,14.87,15.19,16.24,14.9,9.87,6.71,6.29,8.43,13.89,14.66,15.08,12.32
T2M_RANGE,2020,26.5,81.25,11.64,14.12,14.91,16.17,15.07,9.48,6.3,6.2,7.97,13.1,14.8,15.14,12.06
T2M_RANGE,2020,26.5,81.875,11.5,14.17,14.78,15.94,14.88,8.79,5.86,6.01,7.47,11.61,14.38,15.04,11.69
T2M_RANGE,2020,26.5,82.5,11.44,14.27,14.81,15.82,14.76,8.49,5.86,6.08,7.3,12.23,14.69,15.32,11.74
T2M_RANGE,2020,26.5,83.125,11.62,14.71,14.86,15.58,14.35,7.9,5.54,5.78,6.92,11.44,14.1,15.05,11.47
T2M_RANGE,2020,26.5,83.75,11.96,15.02,14.93,15.42,14.1,7.69,5.32,5.68,6.6,10.67,13.27,14.59,11.26
T2M_RANGE,2020,26.5,84.375,12.32,15.05,15.13,15.53,13.81,7.65,5.12,5.64,6.18,9.68,12.57,13.96,11.04
T2M_RANGE,2020,26.5,85,12.39,14.71,15.11,15.31,13.19,7.55,4.82,5.54,6.03,8.97,12.26,13.46,10.76
T2M_RANGE,2020,26.5,85.625,12.29,14.2,14.82,14.68,12.68,7.57,4.82,5.4,5.84,8.46,12.15,13.18,10.49
T2M_RANGE,2020,26.5,86.25,11.93,13.36,13.95,13.68,11.98,7.46,4.79,5.27,5.46,7.51,10.63,11.57,9.79
T2M_RANGE,2020,26.5,86.875,11.35,12.59,12.51,12.43,10.66,6.63,4.4,5.14,5.05,7.06,9.33,10.15,8.93
T2M_RANGE,2020,26.5,87.5,11.18,12.44,12.16,11.86,10.19,6.53,4.37,5.38,4.96,7.3,9.9,10.36,8.87
T2M_RANGE,2020,26.5,88.125,10.52,11.79,11.62,11.34,8.75,5.72,4.06,5.12,4.54,6.83,8.91,9.62,8.22
T2M_RANGE,2020,27,80.625,12.02,14.71,15.05,16.3,14.98,10.09,6.78,6.41,8.68,14.76,15.15,15.46,12.52
T2M_RANGE,2020,27,81.25,11.95,14.21,14.7,16.06,14.71,9.57,6.3,6.32,8.45,14,15.04,15.31,12.21
T2M_RANGE,2020,27,81.875,11.53,14.11,14.4,15.52,14.26,8.7,5.63,5.92,7.56,12.23,14.29,14.79,11.57
T2M_RANGE,2020,27,82.5,11.63,14.58,14.69,15.71,14.45,8.83,5.67,6.17,8.02,12.97,14.79,14.97,11.86
T2M_RANGE,2020,27,83.125,11.59,14.63,14.77,15.38,14.25,8.07,5.11,5.66,7.04,12.01,14.57,14.71,11.47
T2M_RANGE,2020,27,83.75,11.37,14.21,14.53,15.01,13.82,7.6,5.06,5.58,6.4,10.37,13.55,14.1,10.95
T2M_RANGE,2020,27,84.375,11.53,13.69,14.4,14.6,13.04,7.44,5.11,5.67,6.14,8.98,12.14,13.23,10.48
T2M_RANGE,2020,27,85,11.5,13.07,13.79,13.68,12.08,7.37,4.97,5.77,5.94,8.34,11.13,11.94,9.95
T2M_RANGE,2020,27,85.625,10.99,12.4,12.74,12.38,11.25,7.37,4.83,5.71,5.68,7.93,10.47,11.02,9.39
T2M_RANGE,2020,27,86.25,10.32,11.04,11.5,11.13,10.51,7.03,4.6,5.44,5.4,7.09,9.19,9.54,8.56
