latitude,longitude,boron
26.36,87.29,1.40363
26.36,87.3,1.5131756
26.36,87.31,1.0473095
26.36,87.32000000000001,0.9257464
26.36,87.33,1.0182002
26.36,87.34,1.6269684
26.36,87.35000000000001,2.2917995
26.36,87.99,3.813507
26.36,88.0,4.303161
26.36,88.01,5.3597474
26.36,88.02,5.6748447
26.37,87.26,0.6129157
26.37,87.27,0.62083423
26.37,87.28,0.69926846
26.37,87.29,1.0700158
26.37,87.3,1.3580253
26.37,87.31,1.0346802
26.37,87.32000000000001,1.103343
26.37,87.33,1.1987735
26.37,87.34,1.5842758
26.37,87.35000000000001,1.9907691
26.37,87.99,3.9639537
26.37,88.0,4.30934
26.37,88.01,4.966176
26.37,88.02,6.101531
26.37,88.03,5.89998
26.38,87.26,0.63230675
26.38,87.27,0.64476913
26.38,87.28,0.7504538
26.38,87.29,1.002914
26.38,87.3,0.90210915
26.38,87.31,0.91139114
26.38,87.32000000000001,1.0674545
26.38,87.33,1.3956592
26.38,87.34,2.0527153
26.38,87.35000000000001,2.6257591
26.38,87.58,1.47689
26.38,87.59,1.6698288
26.38,87.60000000000001,1.7763498
26.38,87.61,1.690922
26.38,87.99,4.0620265
26.38,88.0,4.503139
26.38,88.01,4.9963684
26.38,88.02,5.5911956
26.38,88.03,6.011956
26.39,87.26,0.700523
26.39,87.27,0.77539384
26.39,87.28,1.0839679
26.39,87.29,1.0016378
26.39,87.3,0.979735
26.39,87.31,0.88335574
26.39,87.32000000000001,0.9218145
26.39,87.33,1.2591267
26.39,87.34,1.7951921
26.39,87.35000000000001,2.01389
26.39,87.36,1.7259367
26.39,87.56,0.99518
26.39,87.57000000000001,1.068365
26.39,87.58,1.3025751
26.39,87.59,1.6556923
26.39,87.60000000000001,1.6470616
26.39,87.61,1.3640797
26.39,87.62,1.1253204
26.39,87.63,1.1145543
26.39,87.64,1.2152232
26.39,87.65,1.2852681
26.39,87.96000000000001,2.650709
26.39,87.97,3.0523303
26.39,87.98,3.6908917
26.39,87.99,4.277202
26.39,88.0,4.8823924
26.39,88.01,4.9827766
