latitude,longitude,clay
26.36,87.29,8.9051
26.36,87.3,8.794456
26.36,87.31,6.789971
26.36,87.32000000000001,7.183958
26.36,87.33,7.1041827
26.36,87.34,6.9502363
26.36,87.35000000000001,9.757487
26.36,87.99,17.07624
26.36,88.0,16.669235
26.36,88.01,17.36103
26.36,88.02,17.452763
26.36,88.03,16.3259
26.37,87.26,12.511939
26.37,87.27,11.5226
26.37,87.28,10.13423
26.37,87.29,9.196922
26.37,87.3,8.1724615
26.37,87.31,8.041954
26.37,87.32000000000001,6.769614
26.37,87.33,6.8683696
26.37,87.34,7.601009
26.37,87.35000000000001,6.91229
26.37,87.99,18.260212
26.37,88.0,18.076258
26.37,88.01,17.971737
26.37,88.02,17.50893
26.37,88.03,16.29161
26.38,87.26,12.759364
26.38,87.27,10.759259
26.38,87.28,10.091691
26.38,87.29,7.930506
26.38,87.3,7.9501944
26.38,87.31,7.231731
26.38,87.32000000000001,7.0345507
26.38,87.33,6.4161615
26.38,87.34,6.835533
26.38,87.35000000000001,6.3633127
26.38,87.59,10.559381
26.38,87.60000000000001,9.991369
26.38,87.61,11.835768
26.38,87.99,18.349545
26.38,88.0,18.528399
26.38,88.01,18.701551
26.38,88.02,17.968645
26.38,88.03,17.031826
26.39,87.26,12.72744
26.39,87.27,10.8004265
26.39,87.28,9.087783
26.39,87.29,7.982685
26.39,87.3,7.258286
26.39,87.31,7.288982
26.39,87.32000000000001,6.1595173
26.39,87.33,6.849279
26.39,87.34,6.4167676
26.39,87.35000000000001,6.878272
26.39,87.36,6.8366
26.39,87.56,12.71
26.39,87.57000000000001,11.340743
26.39,87.58,11.938735
26.39,87.59,10.231667
26.39,87.60000000000001,10.29476
26.39,87.61,13.93222
26.39,87.62,12.822068
26.39,87.63,12.381632
26.39,87.64,11.351876
26.39,87.65,10.763926
26.39,87.96000000000001,19.100159
26.39,87.97,19.22053
26.39,87.98,19.199978
26.39,87.99,19.47925
26.39,88.0,19.245523
26.39,88.01,19.47869
26.39,88.02,18.492123
26.39,88.03,17.461954
26.39,88.04,16.956068
26.400000000000002,87.15,18.862179
26.400000000000002,87.16,18.6986
26.400000000000002,87.17,18.741352
26.400000000000002,87.18,19.101719
26.400000000000002,87.21000000000001,20.90639
26.400000000000002,87.22,20.569849
26.400000000000002,87.26,14.997748
26.400000000000002,87.27,10.38171
26.400000000000002,87.28,8.532114
26.400000000000002,87.29,7.4633493
26.400000000000002,87.3,7.435824
26.400000000000002,87.31,7.357038
26.400000000000002,87.32000000000001,6.6469483
26.400000000000002,87.33,7.0618167
26.400000000000002,87.34,6.850267
26.400000000000002,87.35000000000001,6.7354636
26.400000000000002,87.36,6.1917667
