latitude,longitude,k
26.36,87.29,180.87576
26.36,87.3,162.5614
26.36,87.31,155.436
26.36,87.32000000000001,166.27496
26.36,87.33,204.64369
26.36,87.34,172.60962
26.36,87.35000000000001,192.15193
26.36,87.99,274.91812
26.36,88.0,264.17883
26.36,88.01,253.59132
26.36,88.02,242.05646
26.36,88.03,216.8409
26.37,87.26,146.67635
26.37,87.27,158.40889
26.37,87.28,152.55782
26.37,87.29,151.11774
26.37,87.3,157.50426
26.37,87.31,167.83965
26.37,87.32000000000001,170.33105
26.37,87.33,181.35918
26.37,87.34,166.19933
26.37,87.35000000000001,168.42206
26.37,87.99,241.67545
26.37,88.0,241.72162
26.37,88.01,235.74753
26.37,88.02,248.1498
26.37,88.03,250.06229
26.38,87.26,141.15466
26.38,87.27,134.8194
26.38,87.28,132.04723
26.38,87.29,136.40387
26.38,87.3,151.30963
26.38,87.31,156.40442
26.38,87.32000000000001,157.97723
26.38,87.33,158.32718
26.38,87.34,163.89088
26.38,87.35000000000001,161.26823
26.38,87.59,190.67554
26.38,87.60000000000001,203.38011
26.38,87.61,181.1956
26.38,87.99,243.41934
26.38,88.0,226.86115
26.38,88.01,234.03462
26.38,88.02,243.73003
26.38,88.03,238.37558
26.39,87.26,151.64986
26.39,87.27,130.8356
26.39,87.28,127.57103
26.39,87.29,141.29414
26.39,87.3,167.01665
26.39,87.31,163.24826
26.39,87.32000000000001,149.33936
26.39,87.33,148.82657
26.39,87.34,152.23125
26.39,87.35000000000001,157.78297
26.39,87.36,175.99782
26.39,87.56,166.09288
26.39,87.57000000000001,189.84183
26.39,87.58,182.83029
26.39,87.59,192.77866
26.39,87.60000000000001,188.8284
26.39,87.61,176.84158
26.39,87.62,163.77118
26.39,87.63,165.24727
26.39,87.64,150.51764
26.39,87.65,154.40495
26.39,87.96000000000001,296.35486
26.39,87.97,266.7979
26.39,87.98,267.7628
26.39,87.99,250.63388
26.39,88.0,221.64658
26.39,88.01,223.60266
26.39,88.02,229.92125
26.39,88.03,225.39957
26.39,88.04,246.30994
26.400000000000002,87.15,126.54286
26.400000000000002,87.16,138.47673
26.400000000000002,87.17,145.45914
26.400000000000002,87.18,129.3682
26.400000000000002,87.21000000000001,107.88318
26.400000000000002,87.22,134.15833
26.400000000000002,87.26,158.89708
26.400000000000002,87.27,140.18954
26.400000000000002,87.28,133.55782
26.400000000000002,87.29,156.9597
26.400000000000002,87.3,172.29909
26.400000000000002,87.31,150.45323
26.400000000000002,87.32000000000001,144.91832
26.400000000000002,87.33,144.38913
26.400000000000002,87.34,139.92958
26.400000000000002,87.35000000000001,155.86057
26.400000000000002,87.36,157.75185
26.400000000000002,87.37,164.70953
26.400000000000002,87.55,174.87227
26.400000000000002,87.56,185.11998
26.400000000000002,87.57000000000001,196.79266
26.400000000000002,87.58,189.695
26.400000000000002,87.59,199.41672
26.400000000000002,87.60000000000001,196.21277
26.400000000000002,87.61,169.67531
26.400000000000002,87.62,158.7926
26.400000000000002,87.63,151.67584
26.400000000000002,87.64,149.26065
26.400000000000002,87.65,152.69725
26.400000000000002,87.66,155.42839
26.400000000000002,87.73,132.33638
26.400000000000002,87.75,195.05519
26.400000000000002,87.95,272.92764
26.400000000000002,87.96000000000001,287.48056
26.400000000000002,87.97,245.98882
26.400000000000002,87.98,253.19217
26.400000000000002,87.99,260.21243
26.400000000000002,88.0,235.53424
26.400000000000002,88.01,219.16771
26.400000000000002,88.02,221.73639
26.400000000000002,88.03,218.40247
26.400000000000002,88.04,207.12021
26.400000000000002,88.05,193.70712
26.400000000000002,88.06,192.36687
26.41,87.13,123.43267
26.41,87.14,134.83542
26.41,87.15,124.787834
26.41,87.16,126.58084
26.41,87.17,130.02533
26.41,87.18,128.03365
26.41,87.19,110.98757
26.41,87.2,103.95876
26.41,87.21000000000001,112.3817
26.41,87.22,110.799286
26.41,87.23,121.35478
26.41,87.24,143.83556
26.41,87.25,124.24308
26.41,87.26,139.71739
26.41,87.27,131.71797
26.41,87.28,138.18073
26.41,87.29,157.73834
26.41,87.3,167.68071
26.41,87.31,157.84937
26.41,87.32000000000001,147.6083
26.41,87.33,135.11873
26.41,87.34,136.1592
26.41,87.35000000000001,145.16457
26.41,87.36,161.87614
26.41,87.37,178.79692
26.41,87.38,187.8505
26.41,87.54,175.76079
26.41,87.55,169.62111
26.41,87.56,174.95872
26.41,87.57000000000001,193.10852
26.41,87.58,189.83308
26.41,87.59,203.37656
26.41,87.60000000000001,185.56886
26.41,87.61,157.46342
26.41,87.62,147.35918
26.41,87.63,149.92499
26.41,87.64,152.38484
26.41,87.65,141.10426
26.41,87.66,162.6039
26.41,87.67,167.82474
26.41,87.72,150.08714
26.41,87.73,117.53855
26.41,87.74,134.15373
26.41,87.75,142.44943
26.41,87.76,171.96191
26.41,87.92,331.34186
26.41,87.93,322.62372
26.41,87.94,310.79993
26.41,87.95,279.56287
26.41,87.96000000000001,256.4287
26.41,87.97,234.92316
26.41,87.98,226.35075
26.41,87.99,253.12521
26.41,88.0,237.91682
26.41,88.01,219.73355
26.41,88.02,216.00581
26.41,88.03,206.86522
26.41,88.04,186.86028
26.41,88.05,194.18001
26.41,88.06,195.25989
26.41,88.07000000000001,202.99596
26.42,86.72,92.10192
26.42,86.73,100.059975
26.42,86.74,100.013535
26.42,87.12,138.69435
26.42,87.13,136.70956
26.42,87.14,143.20888
26.42,87.15,131.26001
26.42,87.16,127.386246
26.42,87.17,130.19891
26.42,87.18,123.38706
26.42,87.19,111.693275
26.42,87.2,106.1766
26.42,87.21000000000001,99.47185
26.42,87.22,110.75337
26.42,87.23,117.85579
26.42,87.24,146.27745
26.42,87.25,124.189316
26.42,87.26,135.31761
26.42,87.27,137.26009
26.42,87.28,140.15302
26.42,87.29,156.42253
26.42,87.3,159.8563
26.42,87.31,151.3721
26.42,87.32000000000001,141.1883
26.42,87.33,139.61803
26.42,87.34,149.50487
26.42,87.35000000000001,156.60294
26.42,87.36,163.03612
26.42,87.37,169.8946
26.42,87.38,172.10689
26.42,87.39,166.03171
26.42,87.4,173.1082
26.42,87.41,138.0873
26.42,87.42,120.29263
26.42,87.43,133.76576
26.42,87.52,233.39418
26.42,87.53,244.63362
26.42,87.54,203.27011
26.42,87.55,181.5605
26.42,87.56,179.18268
26.42,87.57000000000001,185.0644
26.42,87.58,195.16214
26.42,87.59,187.27618
26.42,87.60000000000001,168.51007
26.42,87.61,154.10611
26.42,87.62,151.31139
26.42,87.63,146.32285
26.42,87.64,148.49107
26.42,87.65,141.8016
26.42,87.66,160.31238
26.42,87.67,159.77896
26.42,87.7,122.84303
26.42,87.71000000000001,113.96724
26.42,87.72,123.85575
26.42,87.73,113.96514
26.42,87.74,132.18039
26.42,87.75,114.245834
26.42,87.76,120.85461
26.42,87.77,130.42789
26.42,87.92,336.41916
26.42,87.93,305.31073
26.42,87.94,304.37415
26.42,87.95,266.02414
26.42,87.96000000000001,257.61832
26.42,87.97,219.51314
26.42,87.98,229.75543
26.42,87.99,217.09244
26.42,88.0,220.91371
26.42,88.01,208.26234
26.42,88.02,212.48625
26.42,88.03,197.19493
26.42,88.04,187.51714
26.42,88.05,203.83937
26.42,88.06,191.73009
26.42,88.07000000000001,205.25117
26.42,88.08,216.10017
26.43,86.7,103.857666
26.43,86.71000000000001,103.87418
26.43,86.72,103.09899
26.43,86.73,89.581276
26.43,86.74,96.926735
26.43,87.10000000000001,126.566
26.43,87.11,135.26823
26.43,87.12,130.14484
26.43,87.13,137.65742
26.43,87.14,138.11127
26.43,87.15,133.49628
26.43,87.16,130.98302
26.43,87.17,121.88179
26.43,87.18,114.82623
26.43,87.19,105.528885
26.43,87.2,101.41249
26.43,87.21000000000001,101.689835
26.43,87.22,110.27661
26.43,87.23,113.02434
26.43,87.24,140.58028
26.43,87.25,119.48138
26.43,87.26,121.94339
26.43,87.27,138.80821
26.43,87.28,136.64
26.43,87.29,150.9681
26.43,87.3,156.21077
26.43,87.31,146.33694
26.43,87.32000000000001,150.68724
26.43,87.33,157.40697
26.43,87.34,157.87395
26.43,87.35000000000001,165.88828
26.43,87.36,165.40758
26.43,87.37,170.36195
26.43,87.38,159.21439
26.43,87.39,152.97926
26.43,87.4,148.81223
26.43,87.41,125.11947
26.43,87.42,136.19522
26.43,87.43,130.01144
26.43,87.44,140.03804
26.43,87.45,132.33946
26.43,87.46000000000001,164.5044
26.43,87.47,186.4621
26.43,87.48,190.74294
26.43,87.49,184.00882
26.43,87.5,194.34193
26.43,87.51,218.09312
26.43,87.52,230.73824
26.43,87.53,253.17932
26.43,87.54,196.36795
26.43,87.55,201.87517
26.43,87.56,195.3588
26.43,87.57000000000001,190.95975
26.43,87.58,188.94742
26.43,87.59,196.78131
26.43,87.60000000000001,159.34161
26.43,87.61,147.15105
26.43,87.62,132.63493
26.43,87.63,144.5145
26.43,87.64,150.42586
26.43,87.65,131.93112
26.43,87.66,150.86119
26.43,87.67,153.46863
26.43,87.68,147.13805
26.43,87.69,124.456154
26.43,87.7,125.860245
26.43,87.71000000000001,111.31445
26.43,87.72,107.97762
26.43,87.73,146.10065
26.43,87.74,127.233574
26.43,87.75,120.717636
26.43,87.76,101.85537
26.43,87.77,136.87201
26.43,87.83,230.60846
26.43,87.84,245.08093
26.43,87.91,313.65634
26.43,87.92,335.15128
26.43,87.93,311.0489
26.43,87.94,285.30966
26.43,87.95,257.45425
26.43,87.96000000000001,245.44328
26.43,87.97,219.16939
26.43,87.98,211.9542
26.43,87.99,207.68076
26.43,88.0,201.4361
26.43,88.01,200.3709
26.43,88.02,201.2588
26.43,88.03,194.23076
26.43,88.04,189.82542
26.43,88.05,200.07932
26.43,88.06,208.75502
26.43,88.07000000000001,231.80023
26.43,88.08,210.54744
26.43,88.09,213.6718
26.44,86.69,126.55586
26.44,86.7,105.197
26.44,86.71000000000001,105.0723
26.44,86.72,111.84981
26.44,86.73,113.17155
26.44,86.74,137.11006
26.44,86.75,101.634186
26.44,86.83,150.31712
26.44,87.09,143.58237
26.44,87.10000000000001,130.08345
26.44,87.11,124.50672
26.44,87.12,124.92723
26.44,87.13,136.30852
26.44,87.14,129.41081
26.44,87.15,129.7728
26.44,87.16,125.04283
26.44,87.17,124.902016
26.44,87.18,108.848854
26.44,87.19,109.24315
26.44,87.2,105.54908
26.44,87.21000000000001,106.329346
26.44,87.22,114.6538
26.44,87.23,114.38132
26.44,87.24,138.15163
26.44,87.25,121.63297
26.44,87.26,125.027405
26.44,87.27,114.53357
26.44,87.28,125.30704
26.44,87.29,136.60732
26.44,87.3,141.11026
26.44,87.31,146.48991
26.44,87.32000000000001,154.62807
26.44,87.33,154.07932
26.44,87.34,159.36281
26.44,87.35000000000001,177.13872
26.44,87.36,169.5957
26.44,87.37,171.59247
26.44,87.38,164.9835
26.44,87.39,151.5143
26.44,87.4,133.69545
26.44,87.41,160.43317
26.44,87.42,140.58337
26.44,87.43,130.99673
26.44,87.44,151.44682
26.44,87.45,146.23451
26.44,87.46000000000001,158.06096
26.44,87.47,163.02759
26.44,87.48,189.70659
26.44,87.49,195.28613
26.44,87.5,212.20311
26.44,87.51,231.2714
26.44,87.52,220.78319
26.44,87.53,216.48424
26.44,87.54,196.06712
26.44,87.55,192.67436
26.44,87.56,203.33452
26.44,87.57000000000001,193.33058
26.44,87.58,206.02141
26.44,87.59,186.02254
26.44,87.60000000000001,170.57018
26.44,87.61,148.4396
26.44,87.62,147.03491
26.44,87.63,138.32407
26.44,87.64,142.04062
26.44,87.65,137.27048
26.44,87.66,140.35263
26.44,87.67,148.03008
26.44,87.68,123.224785
26.44,87.69,136.32379
26.44,87.7,158.33029
26.44,87.71000000000001,113.1411
26.44,87.72,111.67513
26.44,87.73,103.3245
26.44,87.74,121.77028
26.44,87.75,110.91601
26.44,87.76,104.772446
26.44,87.77,116.86896
26.44,87.83,231.50684
26.44,87.84,243.95572
26.44,87.85000000000001,270.15594
26.44,87.9,356.27872
26.44,87.91,330.5565
26.44,87.92,308.4719
26.44,87.93,294.54285
26.44,87.94,268.9678
26.44,87.95,245.08221
26.44,87.96000000000001,245.42464
26.44,87.97,231.91112
26.44,87.98,216.12129
26.44,87.99,203.3106
26.44,88.0,190.14722
26.44,88.01,192.11497
26.44,88.02,189.40833
26.44,88.03,180.49083
26.44,88.04,179.33174
26.44,88.05,175.69203
26.44,88.06,210.66063
26.44,88.07000000000001,240.1747
26.44,88.08,226.67184
26.44,88.09,193.94176
26.45,86.65,99.94173
26.45,86.66,97.30436
26.45,86.67,106.66811
26.45,86.68,110.71312
26.45,86.69,115.17579
26.45,86.7,104.05291
26.45,86.71000000000001,88.75903
26.45,86.72,101.79066
26.45,86.73,127.950935
26.45,86.74,106.989334
26.45,86.75,91.245514
26.45,86.76,105.091896
26.45,86.77,121.97447
26.45,86.78,131.24243
26.45,86.79,140.36162
26.45,86.8,146.79437
26.45,86.81,158.07317
26.45,86.86,146.2578
26.45,86.87,144.49033
26.45,87.09,131.52348
26.45,87.10000000000001,133.1105
26.45,87.11,122.92056
26.45,87.12,123.417694
26.45,87.13,127.57076
26.45,87.14,127.77587
26.45,87.15,127.842
26.45,87.16,125.97872
26.45,87.17,113.593605
26.45,87.18,106.741394
26.45,87.19,104.2986
26.45,87.2,105.89388
26.45,87.21000000000001,106.198235
26.45,87.22,117.72874
26.45,87.23,120.60924
26.45,87.24,136.24016
26.45,87.25,118.248535
26.45,87.26,118.53894
26.45,87.29,129.5634
26.45,87.3,137.45186
26.45,87.31,148.13673
26.45,87.32000000000001,149.06187
26.45,87.33,152.36935
26.45,87.34,152.75113
26.45,87.35000000000001,165.2481
26.45,87.36,170.38274
26.45,87.37,164.70525
26.45,87.38,150.39313
26.45,87.39,131.37917
26.45,87.4,133.3165
26.45,87.41,136.85938
26.45,87.42,124.55466
26.45,87.43,131.46599
26.45,87.44,143.8894
26.45,87.45,147.02097
26.45,87.46000000000001,156.92696
26.45,87.47,176.2444
26.45,87.48,194.69708
26.45,87.49,200.37372
26.45,87.5,211.67043
26.45,87.51,205.2998
26.45,87.52,193.20193
26.45,87.53,190.11629
26.45,87.54,205.46646
26.45,87.55,193.5154
26.45,87.56,201.10172
26.45,87.57000000000001,194.24788
26.45,87.58,224.58604
26.45,87.59,180.06746
26.45,87.60000000000001,161.6916
26.45,87.61,168.47255
26.45,87.62,141.57169
26.45,87.63,152.58545
26.45,87.64,150.4704
26.45,87.65,139.99446
26.45,87.66,138.19817
26.45,87.67,124.697266
26.45,87.68,123.81435
26.45,87.69,131.32787
26.45,87.7,157.6448
26.45,87.71000000000001,112.49378
26.45,87.72,116.12713
26.45,87.73,108.26701
26.45,87.74,122.5806
26.45,87.75,106.87313
26.45,87.76,111.05309
26.45,87.77,123.80826
26.45,87.78,131.64508
26.45,87.81,190.3599
26.45,87.82000000000001,225.13223
26.45,87.83,244.55922
26.45,87.84,262.5809
26.45,87.85000000000001,284.91837
26.45,87.86,343.1062
26.45,87.9,347.19305
26.45,87.91,337.72888
26.45,87.92,322.44324
26.45,87.93,283.1423
26.45,87.94,279.21597
26.45,87.95,285.63257
26.45,87.96000000000001,284.62726
26.45,87.97,268.87378
26.45,87.98,248.52315
26.45,87.99,229.16344
26.45,88.0,214.17677
26.45,88.01,212.50754
