latitude,longitude,p2o5
26.36,87.29,23.065546
26.36,87.3,23.37001
26.36,87.31,23.628386
26.36,87.32000000000001,23.346735
26.36,87.33,24.604837
26.36,87.34,18.081322
26.36,87.35000000000001,20.777266
26.36,87.99,50.118355
26.36,88.0,51.087383
26.36,88.01,51.48791
26.36,88.02,50.67811
26.36,88.03,49.962513
26.37,87.26,27.842115
26.37,87.27,26.868677
26.37,87.28,19.241982
26.37,87.29,18.69614
26.37,87.3,21.90645
26.37,87.31,23.22292
26.37,87.32000000000001,24.816565
26.37,87.33,22.008781
26.37,87.34,18.526272
26.37,87.35000000000001,18.271482
26.37,87.99,46.44959
26.37,88.0,49.028183
26.37,88.01,50.772747
26.37,88.02,55.628456
26.37,88.03,55.694656
26.38,87.26,30.395624
26.38,87.27,19.187714
26.38,87.28,15.637857
26.38,87.29,15.920789
26.38,87.3,19.539515
26.38,87.31,21.655027
26.38,87.32000000000001,21.108028
26.38,87.33,18.66092
26.38,87.34,18.156866
26.38,87.35000000000001,18.15573
26.38,87.59,27.415508
26.38,87.60000000000001,26.48696
26.38,87.61,26.057455
26.38,87.99,45.397636
26.38,88.0,45.376194
26.38,88.01,51.237335
26.38,88.02,57.557613
26.38,88.03,57.068394
26.39,87.26,28.9891
26.39,87.27,20.073112
26.39,87.28,16.247805
26.39,87.29,18.94421
26.39,87.3,18.268965
26.39,87.31,19.7193
26.39,87.32000000000001,18.881884
26.39,87.33,19.781414
26.39,87.34,20.191704
26.39,87.35000000000001,18.911375
26.39,87.36,17.642641
26.39,87.56,29.872368
26.39,87.57000000000001,27.17514
26.39,87.58,28.472376
26.39,87.59,25.824009
26.39,87.60000000000001,23.60349
26.39,87.61,25.782478
26.39,87.62,23.429201
26.39,87.63,25.106768
26.39,87.64,21.27613
26.39,87.65,20.06761
26.39,87.96000000000001,44.196484
26.39,87.97,42.94731
26.39,87.98,50.132744
26.39,87.99,48.397484
26.39,88.0,44.72987
26.39,88.01,49.423717
26.39,88.02,53.25113
26.39,88.03,56.495667
26.39,88.04,57.24311
26.400000000000002,87.15,29.362173
26.400000000000002,87.16,30.78216
26.400000000000002,87.17,31.910679
26.400000000000002,87.18,30.639423
26.400000000000002,87.21000000000001,28.910887
26.400000000000002,87.22,29.74005
26.400000000000002,87.26,42.458736
26.400000000000002,87.27,23.419262
26.400000000000002,87.28,17.24961
26.400000000000002,87.29,17.937502
26.400000000000002,87.3,19.097475
26.400000000000002,87.31,20.471073
26.400000000000002,87.32000000000001,20.06251
26.400000000000002,87.33,19.908306
26.400000000000002,87.34,20.710857
26.400000000000002,87.35000000000001,20.26362
26.400000000000002,87.36,17.811638
26.400000000000002,87.37,18.04019
26.400000000000002,87.55,34.39483
26.400000000000002,87.56,29.067
26.400000000000002,87.57000000000001,26.627739
26.400000000000002,87.58,28.387693
26.400000000000002,87.59,26.523014
26.400000000000002,87.60000000000001,24.144142
26.400000000000002,87.61,23.65048
26.400000000000002,87.62,22.170033
26.400000000000002,87.63,21.808146
26.400000000000002,87.64,19.844086
26.400000000000002,87.65,21.347542
