latitude,longitude,ph
26.36,87.29,6.21178
26.36,87.3,6.185145
26.36,87.31,6.2082615
26.36,87.32000000000001,6.305174
26.36,87.33,6.3822627
26.36,87.34,6.765431
26.36,87.35000000000001,7.0266976
26.36,87.99,5.75854
26.36,88.0,5.761942
26.36,88.01,5.7367883
26.36,88.02,5.722165
26.36,88.03,5.75172
26.37,87.26,6.2383904
26.37,87.27,6.294533
26.37,87.28,6.229093
26.37,87.29,6.169678
26.37,87.3,6.200081
26.37,87.31,6.182625
26.37,87.32000000000001,6.2437654
26.37,87.33,6.4744854
26.37,87.34,6.825613
26.37,87.35000000000001,6.8715687
26.37,87.99,5.655581
26.37,88.0,5.7058825
26.37,88.01,5.7126794
26.37,88.02,5.728305
26.37,88.03,5.80223
26.38,87.26,6.2586923
26.38,87.27,6.236063
26.38,87.28,6.237681
26.38,87.29,6.08687
26.38,87.3,6.1059976
26.38,87.31,6.1560836
26.38,87.32000000000001,6.241159
26.38,87.33,6.6367674
26.38,87.34,6.771843
26.38,87.35000000000001,6.95408
26.38,87.59,6.7831745
26.38,87.60000000000001,6.886434
26.38,87.61,6.619265
26.38,87.99,5.728524
26.38,88.0,5.718244
26.38,88.01,5.704281
26.38,88.02,5.74083
26.38,88.03,5.8031235
26.39,87.26,6.2942214
26.39,87.27,6.2074265
26.39,87.28,6.1792917
26.39,87.29,6.092666
26.39,87.3,6.052311
26.39,87.31,6.119705
26.39,87.32000000000001,6.379244
26.39,87.33,6.5647917
26.39,87.34,6.7250366
26.39,87.35000000000001,6.8135004
26.39,87.36,6.86592
26.39,87.56,6.46032
26.39,87.57000000000001,6.7511754
26.39,87.58,6.71645
26.39,87.59,6.8668227
26.39,87.60000000000001,6.8606095
26.39,87.61,6.5279818
26.39,87.62,6.3785005
26.39,87.63,6.2544656
26.39,87.64,6.1105857
26.39,87.65,6.100609
26.39,87.96000000000001,5.6690617
26.39,87.97,5.7069745
26.39,87.98,5.7227674
26.39,87.99,5.7235856
26.39,88.0,5.7372174
26.39,88.01,5.7262287
26.39,88.02,5.7485557
26.39,88.03,5.786112
26.39,88.04,5.799081
26.400000000000002,87.15,6.374086
26.400000000000002,87.16,6.372508
26.400000000000002,87.17,6.452667
26.400000000000002,87.18,6.432359
26.400000000000002,87.21000000000001,6.292366
26.400000000000002,87.22,6.28631
26.400000000000002,87.26,6.372134
26.400000000000002,87.27,6.2726016
26.400000000000002,87.28,6.163895
26.400000000000002,87.29,6.0921216
26.400000000000002,87.3,6.083648
26.400000000000002,87.31,6.13321
26.400000000000002,87.32000000000001,6.4057565
26.400000000000002,87.33,6.5519466
26.400000000000002,87.34,6.665954
26.400000000000002,87.35000000000001,6.814486
26.400000000000002,87.36,6.7849903
26.400000000000002,87.37,6.744888
26.400000000000002,87.55,6.606868
26.400000000000002,87.56,6.685473
26.400000000000002,87.57000000000001,6.7991686
26.400000000000002,87.58,6.7067337
26.400000000000002,87.59,6.9190965
26.400000000000002,87.60000000000001,6.9013934
26.400000000000002,87.61,6.541548
26.400000000000002,87.62,6.348612
26.400000000000002,87.63,6.125827
26.400000000000002,87.64,6.0974655
26.400000000000002,87.65,6.0667906
26.400000000000002,87.66,6.06822
26.400000000000002,87.73,5.4121
26.400000000000002,87.75,5.7320533
26.400000000000002,87.95,5.619824
26.400000000000002,87.96000000000001,5.6643143
26.400000000000002,87.97,5.687609
26.400000000000002,87.98,5.720209
26.400000000000002,87.99,5.7417006
26.400000000000002,88.0,5.765093
26.400000000000002,88.01,5.7463665
26.400000000000002,88.02,5.7499986
26.400000000000002,88.03,5.769713
26.400000000000002,88.04,5.7622867
