latitude,longitude,sand
26.36,87.29,26.8086
26.36,87.3,25.759365
26.36,87.31,27.137152
26.36,87.32000000000001,26.887403
26.36,87.33,26.932291
26.36,87.34,26.012115
26.36,87.35000000000001,26.827148
26.36,87.99,38.51704
26.36,88.0,38.855637
26.36,88.01,39.33852
26.36,88.02,38.970078
26.36,88.03,41.39352
26.37,87.26,24.67716
26.37,87.27,26.265276
26.37,87.28,24.160606
26.37,87.29,23.130823
26.37,87.3,25.398846
26.37,87.31,24.903164
26.37,87.32000000000001,24.709873
26.37,87.33,24.021122
26.37,87.34,23.886528
26.37,87.35000000000001,25.635414
26.37,87.99,37.738388
26.37,88.0,38.045456
26.37,88.01,38.06474
26.37,88.02,38.910114
26.37,88.03,39.91198
26.38,87.26,26.372032
26.38,87.27,22.39944
26.38,87.28,21.292007
26.38,87.29,22.563889
26.38,87.3,23.478104
26.38,87.31,24.43877
26.38,87.32000000000001,23.473124
26.38,87.33,23.739576
26.38,87.34,22.887033
26.38,87.35000000000001,24.22268
26.38,87.59,36.275158
26.38,87.60000000000001,37.6975
26.38,87.61,37.05878
26.38,87.99,37.360157
26.38,88.0,37.223022
26.38,88.01,37.277935
26.38,88.02,38.288017
26.38,88.03,39.392086
26.39,87.26,25.42051
26.39,87.27,22.035751
26.39,87.28,20.959995
26.39,87.29,22.294806
26.39,87.3,23.161789
26.39,87.31,23.497889
26.39,87.32000000000001,25.539505
26.39,87.33,24.33745
26.39,87.34,24.499983
26.39,87.35000000000001,23.948666
26.39,87.36,27.57746
26.39,87.56,36.66596
26.39,87.57000000000001,36.430565
26.39,87.58,35.554535
26.39,87.59,37.33336
26.39,87.60000000000001,36.408
26.39,87.61,37.158886
26.39,87.62,35.518845
26.39,87.63,35.371346
26.39,87.64,38.591335
26.39,87.65,37.751865
26.39,87.96000000000001,35.660664
26.39,87.97,36.60814
26.39,87.98,38.28484
26.39,87.99,37.993034
26.39,88.0,37.457825
26.39,88.01,37.7049
26.39,88.02,37.823406
26.39,88.03,39.278164
26.39,88.04,40.300175
26.400000000000002,87.15,41.147892
26.400000000000002,87.16,39.370457
26.400000000000002,87.17,37.63597
26.400000000000002,87.18,34.51432
26.400000000000002,87.21000000000001,29.279686
26.400000000000002,87.22,28.720226
26.400000000000002,87.26,30.881214
26.400000000000002,87.27,24.925167
26.400000000000002,87.28,20.62933
26.400000000000002,87.29,22.307632
26.400000000000002,87.3,22.60866
26.400000000000002,87.31,22.207348
26.400000000000002,87.32000000000001,24.85663
26.400000000000002,87.33,24.496
26.400000000000002,87.34,24.983517
26.400000000000002,87.35000000000001,25.20983
26.400000000000002,87.36,25.050297
26.400000000000002,87.37,25.88647
26.400000000000002,87.55,39.28433
26.400000000000002,87.56,38.586643
26.400000000000002,87.57000000000001,37.37072
26.400000000000002,87.58,33.62847
26.400000000000002,87.59,36.841557
26.400000000000002,87.60000000000001,36.116455
26.400000000000002,87.61,37.217346
26.400000000000002,87.62,38.61697
26.400000000000002,87.63,35.53709
26.400000000000002,87.64,38.32602
26.400000000000002,87.65,39.218513
26.400000000000002,87.66,37.97322
26.400000000000002,87.73,28.18146
26.400000000000002,87.75,32.976254
26.400000000000002,87.95,35.62738
26.400000000000002,87.96000000000001,36.727383
26.400000000000002,87.97,36.440907
26.400000000000002,87.98,37.00949
26.400000000000002,87.99,37.77349
26.400000000000002,88.0,36.394905
26.400000000000002,88.01,36.382416
26.400000000000002,88.02,36.97814
26.400000000000002,88.03,38.05582
26.400000000000002,88.04,38.737957
26.400000000000002,88.05,38.860897
26.400000000000002,88.06,40.257942
26.41,87.13,40.650246
26.41,87.14,40.096714
26.41,87.15,40.989506
26.41,87.16,39.146217
26.41,87.17,36.752804
26.41,87.18,33.596813
26.41,87.19,31.915741
26.41,87.2,29.713472
26.41,87.21000000000001,30.320139
26.41,87.22,27.606022
26.41,87.23,26.631037
26.41,87.24,25.399487
26.41,87.25,23.438107
26.41,87.26,25.505562
26.41,87.27,23.299583
26.41,87.28,20.936981
26.41,87.29,21.133665
26.41,87.3,20.30309
26.41,87.31,22.430468
26.41,87.32000000000001,23.599775
26.41,87.33,24.582253
26.41,87.34,25.85902
26.41,87.35000000000001,24.966331
26.41,87.36,25.098358
