latitude,longitude,slit
26.36,87.29,67.08924
26.36,87.3,68.43916
26.36,87.31,67.358734
26.36,87.32000000000001,68.12332
26.36,87.33,68.006386
26.36,87.34,69.19209
26.36,87.35000000000001,65.710724
26.36,87.99,44.979374
26.36,88.0,44.117527
26.36,88.01,42.65427
26.36,88.02,42.573708
26.36,88.03,42.37158
26.37,87.26,60.879787
26.37,87.27,64.095116
26.37,87.28,68.611244
26.37,87.29,69.38364
26.37,87.3,68.436966
26.37,87.31,68.410095
26.37,87.32000000000001,69.20542
26.37,87.33,70.4036
26.37,87.34,70.28326
26.37,87.35000000000001,68.18528
26.37,87.99,42.696777
26.37,88.0,42.976814
26.37,88.01,42.847157
26.37,88.02,42.859386
26.37,88.03,44.62838
26.38,87.26,61.216892
26.38,87.27,69.117805
26.38,87.28,70.92261
26.38,87.29,70.371185
26.38,87.3,69.31406
26.38,87.31,68.94624
26.38,87.32000000000001,70.13471
26.38,87.33,70.34251
26.38,87.34,70.594795
26.38,87.35000000000001,68.73142
26.38,87.59,53.9588
26.38,87.60000000000001,52.68812
26.38,87.61,52.059093
26.38,87.99,44.867794
26.38,88.0,42.90992
26.38,88.01,42.95466
26.38,88.02,43.433125
26.38,88.03,44.097683
26.39,87.26,63.264236
26.39,87.27,69.78643
26.39,87.28,71.73588
26.39,87.29,71.24235
26.39,87.3,70.71146
26.39,87.31,71.03159
26.39,87.32000000000001,68.84204
26.39,87.33,69.85286
26.39,87.34,69.25571
26.39,87.35000000000001,69.82834
26.39,87.36,66.0064
26.39,87.56,49.3624
26.39,87.57000000000001,52.480827
26.39,87.58,54.076458
26.39,87.59,53.79925
26.39,87.60000000000001,54.58624
26.39,87.61,50.878403
26.39,87.62,53.22871
26.39,87.63,54.23205
26.39,87.64,51.287785
26.39,87.65,53.375824
26.39,87.96000000000001,47.69736
26.39,87.97,46.16299
26.39,87.98,46.314175
26.39,87.99,44.881596
26.39,88.0,43.113464
26.39,88.01,42.856632
26.39,88.02,43.29489
26.39,88.03,43.738556
26.39,88.04,44.431747
26.400000000000002,87.15,40.23674
26.400000000000002,87.16,41.233673
26.400000000000002,87.17,42.494026
